Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Hygrophorus unicolor,rödbrun bokvaxskivling,,NT,,,,Bildar mykorrhiza med bok i äldre bokskog på kalkrik mark. Ett 25-tal aktuella lokaler och en totalt sett liten population och förekomstarea. Svårt att bedöma eventuell minskning. Antalet reproduktiva individer skattas till 1000 (500-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (25-100). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 200 (112-200) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Antalet individer bedöms överstiga gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1).
Cortinarius fuscoperonatus,sotbandad spindling,,VU,,,,"Bildar mykorrhiza med gran, möjligen även med tall. Påträffas i äldre barrskog, bl.a. ängsgranskog på torr till frisk kalkrik mark. Total population i landet bedöms ha minskat och fortsätta att minska främst p.g.a. slutavverkningar av kontinuitetsskogar. Har uppenbart svårt att återetableras efter avverkning. Antalet reproduktiva individer skattas till 2000 (400-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (20-200). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 400 (100-400) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Cortinarius areni-silvae,mospindling,,NT,,,,"Bildar mykorrhiza med tall, huvudsakligen på sandig mark bland renlav på mager tallhed. Har en nordlig utbredning i landet. Bildar stora synliga fruktkroppar men det finns få fynduppgifter och mörkertalet är därför relativt högt. Har först i sen tid urskiljts från C. balteatoalbus. Det finns uppgifter om att arten ibland kan förekomma i planteringar på sandig mark. Troligen är dock arten i första hand knuten till kontinuitetsskogar som inte kalavverkats. Den totala populationen i landet bedöms ha minskat och fortsätter minska p.g.a. slutavverkningar av äldre tallskog. Antalet reproduktiva individer skattas till 3000 (100-6000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (150). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 150 (10-300). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 600 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Russula decipiens,fruktkremla,,DD,,,,"Bildar mykorrhiza med ek på kalkrik mark i ädellövskog, löväng, ekrik hagmark och gammal parkmiljö. Värmekrävande. Arten förefaller trivas i ljusa, halvöppna trädbestånd och har sannolikt gynnats av äldre tiders markanvändning. Total population i landet bedöms ha minskat p.g.a. igenväxning och omvandling av halvöppna skogar till sluten skogsmark. Arten är svår att identifiera och kunskapsunderlaget är något för svagt för att fastställa status och eventuell hotbild. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Cortinarius xanthochlorus,gulgrön spindling,,EN,,,,"Bildar mykorrhiza med ek i luckig ädellövskog på kalkrik mark. I landet endast känd från några få lokaler på Ã–land och Uppland. En syd- och mellaneuropeisk art med utpostlokaler i Norden på ett fåtal, synnerligen exklusiva lokaler. Populationen bedöms som mycket liten och därmed känslig för alla typer av förändringar på dess fåtaliga växtplatser. Antalet reproduktiva individer skattas till 500 (100-1000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (25). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 25 (5-50). Utbredningsområdets storlek (EOO) skattas till 5000 (2496-5000) kmÂ² och förekomstarean (AOO) till 100 (24-100) kmÂ². En minskning av populationen pågår eller förväntas ske. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Hydnellum compactum,kompakt taggsvamp,,VU,,,,Bildar mykorrhiza med bok och ek i främst blockrik och hedartad ek- och bokskog. Väl eftersökt och uppenbarligen sällsynt art med sydvästlig utbredning i landet. Liten population och förekomstarea. Svårt att bedöma ev. populationsförändringar men missgynnas av förtätning och igenväxning av dess växtplatser. Antalet reproduktiva individer skattas till 600 (200-1200). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (30). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 30 (10-60). Utbredningsområdets storlek (EOO) skattas till 10000 (7700-10000) kmÂ² och förekomstarean (AOO) till 120 (50-120) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1).
Hymenogaster luteus,slätsporig buktryffel,,NT,,,,"Bildar mykorrhiza med bl.a. hassel. Växer i lerig mulljord, i hassellund och blandad ädellövskog på kalkrik mark. Växer underjordiskt och har högt mörkertal men total population i landet bedöms ändå som liten. Status och hotbild något oklar, men uppenbarligen mycket sällsynt. Svårt att bedöma ev. populationsförändringar. Antalet reproduktiva individer skattas till 1000 (50-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (2-100). Utbredningsområdets storlek (EOO) skattas till 5000 (404-5000) kmÂ² och förekomstarean (AOO) till 200 (12-200) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Antalet individer bedöms överstiga gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Cortinarius moÃ«nne-loccozii,safirspindling,,EN,,,,"Bildar mykorrhiza med ek och hassel i luckig ädellövskog och hässlen på kalkrik mark. Värmekrävande och exklusiv art med få nordiska förekomster. Bedöms ha mycket liten total population och fortgående minska p.g.a. avverkning av värdträd samt igenväxning och omvandling av halvöppna skogar till sluten skogsmark. Ny taxonomi har visat att två arter doldes i det som tidigare bedömdes under namnet ""C. caerulescens"" : C. caerulescens s.str. enbart med bok, och C. moÃ«nne-loccozii med ek och hassel. Antalet reproduktiva individer skattas till 1000 (400-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (20-100). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 200 (100-200) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius foetens,spindelskivling,,VU,,,,Bildar mykorrhiza med bok i bokskog på kalkrik mark. Förefaller knuten till ängsbokskogar med lång trädkontinuitet. Väl eftersökt art med lågt mörkertal. Populationen bedöms som mycket liten och därmed känslig för alla typer av förändringar på dess fåtaliga växtplatser. Antalet reproduktiva individer skattas till 400 (200-800). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (20). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 20 (10-40). Utbredningsområdets storlek (EOO) skattas till 10000 (1544-10000) kmÂ² och förekomstarean (AOO) till 100 (20-100) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1).
Hygrophorus latitabundus,tallvaxskivling,,VU,,,,"Bildar mykorrhiza med tall i tallskog på kalkrik mark, gärna i lite sluttande lägen med rörligt grundvatten. Först konstaterad i landet 1998 och är i Sverige enbart funnen på ett fåtal lokaler på Gotland. En klimatiskt begränsad, sydlig art. Svårt att bedöma eventuella populationsförändringar. Antalet reproduktiva individer skattas till 500 (100-1000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (25). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 25 (5-50). Utbredningsområdets storlek (EOO) skattas till 3000 kmÂ² och förekomstarean (AOO) till 100 kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Ramaria fumigata,grålila fingersvamp,,NT,,,,"Bildar mykorrhiza med bok, avenbok och ek i äldre ädellövskog med kontinuitet. I Sverige främst i kalkrik ängsbokskog, i Norge även i mera hedartad ekskog. Den kända populationen är mycket liten och missgynnas potentiellt av pga. avverkningar, eutrofiering och  inväxning av gran. Dock svårt att bedöma ev. populationsförändringar. Lilafotad fingersvamp var tidigare indelad i två varieteter: Ramaria fennica var. fennica som växer i barrskog och R. fennica var. fumigata som växer i bokskog. Molekylära och morfologiska studier har nu visat att det rör sig om två separata arter som ska heta R. fennica repektive R. fumigata. Dessa behandlas separat i rödlistan. Antalet reproduktiva individer skattas till 1500 (300-3000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (75). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 75 (15-150). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 600 (72-600) kmÂ². Det finns inga tecken på betydande populationsförändring. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Antalet individer bedöms överstiga gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
